1048,1150,-433
961,1145,-515
902,1150,-505
815,1153,-507
801,1170,-521
750,1163,-493
700,1153,-491
677,1166,-500
705,1158,-476
615,1163,-478
556,1170,-467
486,1133,-467
452,1120,-465
421,1093,-515
396,1080,-536
337,1036,-531
300,1025,-500
227,1025,-455
162,1025,-308
120,1017,-52
101,973,68
135,1006,107
162,1012,83
162,1031,86
193,1028,171
286,1047,263
430,1058,367
581,1087,417
738,1112,398
885,1103,431
1008,1066,433
1040,1066,433
1121,1058,403
1211,1047,391
1248,1025,351
1305,987,348
1233,1033,341
1181,1061,346
1195,1091,356
1183,1068,372
1177,1022,422
1186,1028,415
1307,1031,311
1338,1061,142
1357,1093,36
1341,1115,-50
1323,1098,-113
1285,1140,-206
1226,1123,-436
1068,1098,-533
967,1133,-568
992,1158,-521
1125,1123,-446
1245,1112,-391
1341,1098,-240
1422,1071,-28
1368,1068,123
1175,1091,285
896,1107,398
686,1103,393
626,1137,301
556,1142,298
452,1123,232
261,1123,-41
210,1087,-33
153,1047,-123
171,1036,-248
311,992,-581
562,1036,-692
747,1050,-711
1080,1058,-680
1271,1047,-568
1350,1036,-497
1408,1045,-401
1388,1068,-358
1357,1103,-322
1363,1115,-308
1316,1126,-296
1323,1137,-277
1375,1117,-256
1425,1091,-261
1456,1066,-266
1456,1025,-275
1490,1050,-268
1481,1055,-275
1507,1038,-308
1546,1006,-341
1620,927,-441
1600,890,-500
1636,665,-680
1625,347,-825
1602,137,-846
1608,26,-832
1620,-70,-785
1586,-105,-780
1588,-83,-766
1620,58,-791
1620,0,-782
1661,-28,-770
1633,-21,-742
1647,-26,-751
1687,-16,-725
1710,2,-682
1802,28,-538
1867,40,-341
1897,123,-203
1890,135,-26
1861,176,208
1762,148,403
1658,61,568
1503,56,703
1431,116,801
1366,75,825
1312,45,843
1233,12,881
1080,-10,926
911,-16,986
738,-23,986
632,-51,957
573,-28,950
488,-81,915
252,-111,808
-13,23,663
-185,222,433
-202,146,425
-250,105,330
-238,-2,268
-252,-70,251
-261,-58,235
-283,-67,203
-295,-56,176
-288,-16,113
-303,-10,10
-322,26,-100
-292,-53,-192
-187,-42,-521
-27,-42,-772
146,-51,-912
295,-28,-1016
407,42,-1071
522,113,-1111
630,123,-1132
727,105,-1140
776,105,-1123
835,116,-1147
862,111,-1153
896,118,-1140
885,100,-1147
933,58,-1111
1017,67,-1100
970,70,-1113
1015,81,-1108
1206,83,-1066
1343,65,-978
1498,16,-860
1633,-21,-713
1710,-21,-611
1788,-18,-483
1807,-21,-410
1827,48,-365
1838,32,-346
1861,51,-303
1852,18,-287
1881,23,-176
1863,23,-23
1807,42,253
1616,-7,576
1436,7,751
1181,0,893
983,-2,955
837,51,973
727,16,967
660,-26,978
592,-48,950
547,-51,933
556,-67,955
461,-53,907
303,-35,870
108,7,758
-45,-7,611
-115,-32,526
-137,-40,515
-146,-28,465
-165,-35,443
-207,-21,412
-213,-21,401
-216,-37,386
-232,-18,338
-255,56,253
-320,28,-7
-303,137,-242
-112,206,-671
103,306,-901
221,281,-1002
306,290,-1023
455,243,-1078
646,183,-1142
747,135,-1135
783,173,-1135
815,195,-1130
823,227,-1140
801,238,-1142
798,227,-1137
817,222,-1142
